Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Feb 19, 2024",72800.00,73900.00,72800.00,73800.00,72731.84,12726404
"Feb 16, 2024",73300.00,73400.00,72500.00,72800.00,71746.31,13444781
"Feb 15, 2024",74200.00,74400.00,73000.00,73200.00,72140.52,14120600
"Feb 14, 2024",73700.00,74300.00,73700.00,74000.00,72928.95,12434945
"Feb 13, 2024",74800.00,75200.00,74400.00,75200.00,74111.58,21966745
"Feb 8, 2024",75000.00,75200.00,73600.00,74100.00,73027.49,20810708
"Feb 7, 2024",74600.00,75500.00,74300.00,75000.00,73914.46,16566445
"Feb 6, 2024",74300.00,74700.00,73300.00,74400.00,73323.14,14559254
"Feb 5, 2024",74200.00,74800.00,73500.00,74300.00,73224.59,19026021
"Feb 2, 2024",74000.00,75200.00,73700.00,75200.00,74111.58,14955881
"Feb 1, 2024",73000.00,74200.00,72900.00,73600.00,72534.73,19881033
"Jan 31, 2024",73400.00,74000.00,72500.00,72700.00,71647.76,15703560
"Jan 30, 2024",75000.00,75300.00,73700.00,74300.00,73224.59,12244418
"Jan 29, 2024",73800.00,75200.00,73500.00,74400.00,73323.14,13976521
"Jan 26, 2024",73700.00,74500.00,73300.00,73400.00,72337.63,11160062
"Jan 25, 2024",74200.00,74800.00,73700.00,74100.00,73027.49,11737747
"Jan 24, 2024",75200.00,75200.00,73500.00,74000.00,72928.95,12860661
"Jan 23, 2024",75700.00,75800.00,74300.00,75200.00,74111.58,14786224
"Jan 22, 2024",75900.00,76000.00,75000.00,75100.00,74013.02,19673375
"Jan 19, 2024",73500.00,74700.00,73000.00,74700.00,73618.80,23363427
"Jan 18, 2024",71600.00,72000.00,70700.00,71700.00,70662.23,17853397
"Jan 17, 2024",73100.00,73300.00,71000.00,71000.00,69972.37,22683660
"Jan 16, 2024",73500.00,73700.00,72500.00,72600.00,71549.20,14760415
"Jan 15, 2024",73200.00,74000.00,73200.00,73900.00,72830.39,2957915
"Jan 12, 2024",73000.00,74100.00,72800.00,73100.00,72041.97,13038939
"Jan 11, 2024",72900.00,73600.00,72700.00,73200.00,72140.52,57691266
"Jan 10, 2024",75000.00,75200.00,73200.00,73600.00,72534.73,20259529
"Jan 9, 2024",77400.00,77700.00,74300.00,74700.00,73618.80,26019249
"Jan 8, 2024",77000.00,77500.00,76400.00,76500.00,75392.76,11088724
"Jan 5, 2024",76700.00,77100.00,76400.00,76600.00,75491.30,11304316
"Jan 4, 2024",76100.00,77300.00,76100.00,76600.00,75491.30,15324439
"Jan 3, 2024",78500.00,78800.00,77000.00,77000.00,75885.52,21753644
